id,price,maker,content,delivery,now,imgName
1,2495000,Nike,Nike x Billie Eilish Air Force 1 Low '07 SP Mushroom,speed,1,museum1
2,245000,Nike,Nike Zoom Vomero 5 PRM Lightt Iron Ore,brand,1,museum2
3,9100000,Jordan,Nike Air Force 1 '07 LV8 Sail Noble Green,,0,museum3
4,114000,Apple,Apple AirPods Max Silver (Korean Ver.),,0,museum4
5,150000,The North Face,The North Face 1996 Eco Nuptse Jacket Black,,0,museum5
6,1230000,Dior,(W) Dior Reversible Cropped Down Jacket Blue and Black,speed,1,museum6
7,15000,Recto,Recto Pokono Quilted Down Short Jacket Black,speed,1,museum7
8,1400000,Moncler,(W) Moncler Bardanette Short down Jacket Black - 22FW,brand,0,museum8
9,1233000,Bearbrick,Bearbrick x Clot Panda 100% & 400% Set,,1,museum9
10,23000,Bao Bao Issey Miyake,Bao Bao Issey Miyake Lucent Tote Bag White,,0,museum10
11,12110000,Jordan,(W) Jordan 1 Low White Ice Blue,speed,1,museum11
12,870900,Nike,Nike Dunk Low Retro Black,brand,1,museum12
